"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
17547,"$1 under $25,000",1180
17547,"$25,000 under $50,000",960
17547,"$50,000 under $75,000",660
17547,"$75,000 under $100,000",460
17547,"$100,000 under $200,000",470
17547,"$200,000 or more",50
,,
17551,,"4,100"
17551,"$1 under $25,000",1470
17551,"$25,000 under $50,000",820
17551,"$50,000 under $75,000",600
17551,"$75,000 under $100,000",460
17551,"$100,000 under $200,000",590
17551,"$200,000 or more",160
,,
17552,,"10,230"
17552,"$1 under $25,000",3040
17552,"$25,000 under $50,000",2510
17552,"$50,000 under $75,000",1710
17552,"$75,000 under $100,000",1290
17552,"$100,000 under $200,000",1450
17552,"$200,000 or more",230
,,
17554,,"3,880"
17554,"$1 under $25,000",1240
17554,"$25,000 under $50,000",970
17554,"$50,000 under $75,000",680
17554,"$75,000 under $100,000",440
17554,"$100,000 under $200,000",490
17554,"$200,000 or more",60
,,
17555,,"3,300"
17555,"$1 under $25,000",1250
17555,"$25,000 under $50,000",790
17555,"$50,000 under $75,000",510
17555,"$75,000 under $100,000",320
17555,"$100,000 under $200,000",350
17555,"$200,000 or more",80
,,
17557,,"6,990"
17557,"$1 under $25,000",2490
17557,"$25,000 under $50,000",1640
17557,"$50,000 under $75,000",1250
17557,"$75,000 under $100,000",700
17557,"$100,000 under $200,000",720
17557,"$200,000 or more",190
,,
17560,,"2,470"
17560,"$1 under $25,000",1000
17560,"$25,000 under $50,000",610
17560,"$50,000 under $75,000",350
17560,"$75,000 under $100,000",260
17560,"$100,000 under $200,000",220
17560,"$200,000 or more",30
,,
17562,,"1,960"
17562,"$1 under $25,000",700
17562,"$25,000 under $50,000",530
17562,"$50,000 under $75,000",340
17562,"$75,000 under $100,000",180
17562,"$100,000 under $200,000",180
17562,"$200,000 or more",30
,,
17563,,"1,630"
17563,"$1 under $25,000",620
17563,"$25,000 under $50,000",390
17563,"$50,000 under $75,000",260
17563,"$75,000 under $100,000",180
17563,"$100,000 under $200,000",160
17563,"$200,000 or more",20
,,
17565,,"1,300"
17565,"$1 under $25,000",420
17565,"$25,000 under $50,000",280
17565,"$50,000 under $75,000",220
17565,"$75,000 under $100,000",140
17565,"$100,000 under $200,000",200
17565,"$200,000 or more",40
,,
17566,,"5,410"
17566,"$1 under $25,000",1890
17566,"$25,000 under $50,000",1300
17566,"$50,000 under $75,000",870
17566,"$75,000 under $100,000",610
17566,"$100,000 under $200,000",630
17566,"$200,000 or more",110
,,
17569,,"2,870"
17569,"$1 under $25,000",870
17569,"$25,000 under $50,000",620
17569,"$50,000 under $75,000",470
17569,"$75,000 under $100,000",350
17569,"$100,000 under $200,000",450
17569,"$200,000 or more",110
,,
17572,,"1,690"
17572,"$1 under $25,000",670
17572,"$25,000 under $50,000",450
17572,"$50,000 under $75,000",270
17572,"$75,000 under $100,000",150
17572,"$100,000 under $200,000",120
17572,"$200,000 or more",30
,,
17576,,140
17576,"$1 under $25,000",50
17576,"$25,000 under $50,000",40
17576,"$50,000 under $75,000",20
17576,"$75,000 under $100,000",30
17576,"$100,000 under $200,000",** 0
17576,"$200,000 or more",** 0
,,
17578,,"3,100"
17578,"$1 under $25,000",1050
17578,"$25,000 under $50,000",680
17578,"$50,000 under $75,000",530
17578,"$75,000 under $100,000",370
17578,"$100,000 under $200,000",380
17578,"$200,000 or more",90
,,
17579,,"3,050"
17579,"$1 under $25,000",1060
17579,"$25,000 under $50,000",660
17579,"$50,000 under $75,000",490
17579,"$75,000 under $100,000",330
17579,"$100,000 under $200,000",420
17579,"$200,000 or more",90
,,
17581,,590
17581,"$1 under $25,000",200
17581,"$25,000 under $50,000",150
17581,"$50,000 under $75,000",100
17581,"$75,000 under $100,000",80
17581,"$100,000 under $200,000",60
17581,"$200,000 or more",** 0
,,
17582,,"1,020"
17582,"$1 under $25,000",310
17582,"$25,000 under $50,000",220
17582,"$50,000 under $75,000",170
17582,"$75,000 under $100,000",140
17582,"$100,000 under $200,000",150
17582,"$200,000 or more",30
,,
17584,,"4,770"
17584,"$1 under $25,000",1490
17584,"$25,000 under $50,000",960
17584,"$50,000 under $75,000",770
17584,"$75,000 under $100,000",580
17584,"$100,000 under $200,000",810
17584,"$200,000 or more",160
,,
17601,,"26,930"
17601,"$1 under $25,000",8450
17601,"$25,000 under $50,000",5650
17601,"$50,000 under $75,000",3920
17601,"$75,000 under $100,000",2900
17601,"$100,000 under $200,000",4340
17601,"$200,000 or more",1670
,,
17602,,"25,210"
17602,"$1 under $25,000",10950
17602,"$25,000 under $50,000",6650
17602,"$50,000 under $75,000",3150
17602,"$75,000 under $100,000",1780
17602,"$100,000 under $200,000",2140
17602,"$200,000 or more",540
,,
17603,,"32,300"
17603,"$1 under $25,000",13460
17603,"$25,000 under $50,000",8800
17603,"$50,000 under $75,000",4300
17603,"$75,000 under $100,000",2440
17603,"$100,000 under $200,000",2570
17603,"$200,000 or more",730
,,
17701,,"19,340"
17701,"$1 under $25,000",8720
17701,"$25,000 under $50,000",4670
17701,"$50,000 under $75,000",2540
17701,"$75,000 under $100,000",1510
17701,"$100,000 under $200,000",1500
17701,"$200,000 or more",400
,,
17702,,"5,330"
17702,"$1 under $25,000",2000
17702,"$25,000 under $50,000",1410
17702,"$50,000 under $75,000",870
17702,"$75,000 under $100,000",530
17702,"$100,000 under $200,000",480
17702,"$200,000 or more",40
,,
17724,,"2,100"
17724,"$1 under $25,000",840
17724,"$25,000 under $50,000",530
17724,"$50,000 under $75,000",350
17724,"$75,000 under $100,000",190
17724,"$100,000 under $200,000",160
17724,"$200,000 or more",30
,,
17728,,"2,500"
17728,"$1 under $25,000",910
17728,"$25,000 under $50,000",570
17728,"$50,000 under $75,000",380
17728,"$75,000 under $100,000",260
17728,"$100,000 under $200,000",330
17728,"$200,000 or more",50
,,
17737,,"3,170"
17737,"$1 under $25,000",1180
17737,"$25,000 under $50,000",790
17737,"$50,000 under $75,000",520
17737,"$75,000 under $100,000",310
17737,"$100,000 under $200,000",330
17737,"$200,000 or more",40
,,
17740,,"6,120"
17740,"$1 under $25,000",2270
17740,"$25,000 under $50,000",1550
17740,"$50,000 under $75,000",1070
17740,"$75,000 under $100,000",610
17740,"$100,000 under $200,000",550
17740,"$200,000 or more",70
,,
17744,,"1,460"
17744,"$1 under $25,000",580
17744,"$25,000 under $50,000",380
17744,"$50,000 under $75,000",230
17744,"$75,000 under $100,000",140
17744,"$100,000 under $200,000",130
17744,"$200,000 or more",** 0
,,
17745,,"7,200"
17745,"$1 under $25,000",2900
17745,"$25,000 under $50,000",1810
17745,"$50,000 under $75,000",1010
17745,"$75,000 under $100,000",680
17745,"$100,000 under $200,000",690
17745,"$200,000 or more",110
,,
17747,,"1,280"
17747,"$1 under $25,000",450
17747,"$25,000 under $50,000",370
17747,"$50,000 under $75,000",180
17747,"$75,000 under $100,000",150
17747,"$100,000 under $200,000",130
17747,"$200,000 or more",** 0
,,
17751,,"3,470"
17751,"$1 under $25,000",1300
17751,"$25,000 under $50,000",870
17751,"$50,000 under $75,000",560
17751,"$75,000 under $100,000",350
17751,"$100,000 under $200,000",330
17751,"$200,000 or more",60
,,
17752,,"2,200"
17752,"$1 under $25,000",810
17752,"$25,000 under $50,000",570
17752,"$50,000 under $75,000",360
17752,"$75,000 under $100,000",230
17752,"$100,000 under $200,000",230
17752,"$200,000 or more",** 0
,,
17754,,"6,210"
17754,"$1 under $25,000",2050
17754,"$25,000 under $50,000",1300
17754,"$50,000 under $75,000",990
17754,"$75,000 under $100,000",710
17754,"$100,000 under $200,000",920
17754,"$200,000 or more",240
,,
17756,,"5,520"
17756,"$1 under $25,000",2000
17756,"$25,000 under $50,000",1320
17756,"$50,000 under $75,000",890
17756,"$75,000 under $100,000",610
17756,"$100,000 under $200,000",610
17756,"$200,000 or more",90
,,
17758,,480
17758,"$1 under $25,000",200
17758,"$25,000 under $50,000",100
17758,"$50,000 under $75,000",80
17758,"$75,000 under $100,000",50
17758,"$100,000 under $200,000",50
17758,"$200,000 or more",** 0
,,
17760,,260
17760,"$1 under $25,000",100
17760,"$25,000 under $50,000",60
17760,"$50,000 under $75,000",50
17760,"$75,000 under $100,000",30
17760,"$100,000 under $200,000",20
17760,"$200,000 or more",** 0
,,
17764,,960
17764,"$1 under $25,000",440
17764,"$25,000 under $50,000",240
17764,"$50,000 under $75,000",150
17764,"$75,000 under $100,000",80
17764,"$100,000 under $200,000",50
17764,"$200,000 or more",** 0
,,
17765,,520
17765,"$1 under $25,000",190
17765,"$25,000 under $50,000",140
17765,"$50,000 under $75,000",90
17765,"$75,000 under $100,000",50
17765,"$100,000 under $200,000",50
17765,"$200,000 or more",** 0
,,
17768,,140
17768,"$1 under $25,000",40
17768,"$25,000 under $50,000",40
17768,"$50,000 under $75,000",30
17768,"$75,000 under $100,000",30
17768,"$100,000 under $200,000",** 0
17768,"$200,000 or more",** 0
,,
17771,,"1,550"
17771,"$1 under $25,000",590
17771,"$25,000 under $50,000",350
17771,"$50,000 under $75,000",270
17771,"$75,000 under $100,000",170
17771,"$100,000 under $200,000",140
17771,"$200,000 or more",30
,,
17772,,"1,120"
17772,"$1 under $25,000",390
17772,"$25,000 under $50,000",270
17772,"$50,000 under $75,000",190
17772,"$75,000 under $100,000",140
17772,"$100,000 under $200,000",130
17772,"$200,000 or more",** 0
,,
17774,,510
17774,"$1 under $25,000",180
17774,"$25,000 under $50,000",150
17774,"$50,000 under $75,000",80
17774,"$75,000 under $100,000",50
17774,"$100,000 under $200,000",50
17774,"$200,000 or more",** 0
,,
17776,,130
17776,"$1 under $25,000",40
17776,"$25,000 under $50,000",40
17776,"$50,000 under $75,000",20
17776,"$75,000 under $100,000",30
17776,"$100,000 under $200,000",** 0
17776,"$200,000 or more",0
,,
17777,,"3,360"
17777,"$1 under $25,000",1270
17777,"$25,000 under $50,000",880
17777,"$50,000 under $75,000",540
17777,"$75,000 under $100,000",320
17777,"$100,000 under $200,000",310
17777,"$200,000 or more",40
,,
17801,,"7,920"
17801,"$1 under $25,000",3470
17801,"$25,000 under $50,000",2150
17801,"$50,000 under $75,000",1050
17801,"$75,000 under $100,000",670
17801,"$100,000 under $200,000",510
17801,"$200,000 or more",70
,,
17810,,930
17810,"$1 under $25,000",330
17810,"$25,000 under $50,000",250
17810,"$50,000 under $75,000",170
17810,"$75,000 under $100,000",100
17810,"$100,000 under $200,000",80
17810,"$200,000 or more",** 0
,,
17812,,700
17812,"$1 under $25,000",280
17812,"$25,000 under $50,000",220
17812,"$50,000 under $75,000",100
17812,"$75,000 under $100,000",60
17812,"$100,000 under $200,000",40
17812,"$200,000 or more",0
,,
17813,,960
17813,"$1 under $25,000",360
17813,"$25,000 under $50,000",300
17813,"$50,000 under $75,000",160
17813,"$75,000 under $100,000",70
17813,"$100,000 under $200,000",70
17813,"$200,000 or more",** 0
,,
17814,,"2,180"
17814,"$1 under $25,000",800
17814,"$25,000 under $50,000",600
17814,"$50,000 under $75,000",340
17814,"$75,000 under $100,000",210
17814,"$100,000 under $200,000",210
17814,"$200,000 or more",20
,,
17815,,"11,720"
17815,"$1 under $25,000",4380
17815,"$25,000 under $50,000",2690
17815,"$50,000 under $75,000",1710
17815,"$75,000 under $100,000",1100
17815,"$100,000 under $200,000",1480
17815,"$200,000 or more",360
,,
17820,,"2,800"
17820,"$1 under $25,000",1070
17820,"$25,000 under $50,000",660
17820,"$50,000 under $75,000",430
17820,"$75,000 under $100,000",300
17820,"$100,000 under $200,000",290
17820,"$200,000 or more",50
,,
17821,,"9,210"
17821,"$1 under $25,000",3130
17821,"$25,000 under $50,000",2040
17821,"$50,000 under $75,000",1460
17821,"$75,000 under $100,000",900
17821,"$100,000 under $200,000",1200
17821,"$200,000 or more",480
,,
17823,,590
17823,"$1 under $25,000",200
17823,"$25,000 under $50,000",160
17823,"$50,000 under $75,000",100
17823,"$75,000 under $100,000",70
17823,"$100,000 under $200,000",60
17823,"$200,000 or more",** 0
,,
17824,,"2,110"
17824,"$1 under $25,000",720
17824,"$25,000 under $50,000",400
17824,"$50,000 under $75,000",300
17824,"$75,000 under $100,000",230
17824,"$100,000 under $200,000",380
17824,"$200,000 or more",80
,,
17827,,400
17827,"$1 under $25,000",140
17827,"$25,000 under $50,000",120
17827,"$50,000 under $75,000",60
17827,"$75,000 under $100,000",40
17827,"$100,000 under $200,000",40
17827,"$200,000 or more",** 0
,,
17830,,980
17830,"$1 under $25,000",320
17830,"$25,000 under $50,000",290
17830,"$50,000 under $75,000",180
17830,"$75,000 under $100,000",110
17830,"$100,000 under $200,000",80
17830,"$200,000 or more",** 0
,,
17834,,"1,650"
17834,"$1 under $25,000",690
17834,"$25,000 under $50,000",400
17834,"$50,000 under $75,000",230
17834,"$75,000 under $100,000",160
17834,"$100,000 under $200,000",170
17834,"$200,000 or more",** 0
,,
17837,,"7,090"
17837,"$1 under $25,000",2370
17837,"$25,000 under $50,000",1420
17837,"$50,000 under $75,000",1010
17837,"$75,000 under $100,000",750
17837,"$100,000 under $200,000",1100
17837,"$200,000 or more",440
,,
17841,,"1,920"
17841,"$1 under $25,000",710
17841,"$25,000 under $50,000",590
17841,"$50,000 under $75,000",320
17841,"$75,000 under $100,000",180
17841,"$100,000 under $200,000",120
17841,"$200,000 or more",** 0
,,
17842,,"3,890"
17842,"$1 under $25,000",1480
17842,"$25,000 under $50,000",1110
17842,"$50,000 under $75,000",650
17842,"$75,000 under $100,000",360
17842,"$100,000 under $200,000",260
17842,"$200,000 or more",30
,,
17844,,"4,660"
17844,"$1 under $25,000",1770
17844,"$25,000 under $50,000",1190
17844,"$50,000 under $75,000",720
17844,"$75,000 under $100,000",470
17844,"$100,000 under $200,000",430
17844,"$200,000 or more",80
,,
17845,,"1,030"
17845,"$1 under $25,000",370
17845,"$25,000 under $50,000",340
17845,"$50,000 under $75,000",170
17845,"$75,000 under $100,000",90
17845,"$100,000 under $200,000",60
17845,"$200,000 or more",** 0
,,
17846,,"1,700"
17846,"$1 under $25,000",620
17846,"$25,000 under $50,000",440
17846,"$50,000 under $75,000",270
17846,"$75,000 under $100,000",140
17846,"$100,000 under $200,000",210
17846,"$200,000 or more",20
,,
17847,,"5,740"
17847,"$1 under $25,000",2350
17847,"$25,000 under $50,000",1500
17847,"$50,000 under $75,000",870
17847,"$75,000 under $100,000",500
17847,"$100,000 under $200,000",460
17847,"$200,000 or more",60
,,
17851,,"3,350"
17851,"$1 under $25,000",1490
17851,"$25,000 under $50,000",970
17851,"$50,000 under $75,000",470
17851,"$75,000 under $100,000",230
17851,"$100,000 under $200,000",190
17851,"$200,000 or more",** 0
,,
17853,,"1,450"
17853,"$1 under $25,000",540
17853,"$25,000 under $50,000",430
17853,"$50,000 under $75,000",240
17853,"$75,000 under $100,000",140
17853,"$100,000 under $200,000",100
17853,"$200,000 or more",** 0
,,
17855,,510
17855,"$1 under $25,000",170
17855,"$25,000 under $50,000",140
17855,"$50,000 under $75,000",100
17855,"$75,000 under $100,000",50
17855,"$100,000 under $200,000",50
17855,"$200,000 or more",** 0
,,
17856,,"1,670"
17856,"$1 under $25,000",610
17856,"$25,000 under $50,000",410
17856,"$50,000 under $75,000",280
17856,"$75,000 under $100,000",190
17856,"$100,000 under $200,000",180
17856,"$200,000 or more",** 0
,,
17857,,"3,900"
17857,"$1 under $25,000",1400
17857,"$25,000 under $50,000",1040
17857,"$50,000 under $75,000",620
17857,"$75,000 under $100,000",400
17857,"$100,000 under $200,000",380
17857,"$200,000 or more",60
,,
17859,,"1,470"
17859,"$1 under $25,000",540
17859,"$25,000 under $50,000",370
17859,"$50,000 under $75,000",230
17859,"$75,000 under $100,000",150
17859,"$100,000 under $200,000",160
17859,"$200,000 or more",20
,,
17860,,"1,020"
17860,"$1 under $25,000",320
17860,"$25,000 under $50,000",220
17860,"$50,000 under $75,000",150
17860,"$75,000 under $100,000",140
17860,"$100,000 under $200,000",170
17860,"$200,000 or more",20
,,
17862,,180
17862,"$1 under $25,000",90
17862,"$25,000 under $50,000",70
17862,"$50,000 under $75,000",** 0
17862,"$75,000 under $100,000",20
17862,"$100,000 under $200,000",** 0
17862,"$200,000 or more",0
,,
17864,,"1,070"
17864,"$1 under $25,000",430
17864,"$25,000 under $50,000",290
17864,"$50,000 under $75,000",160
17864,"$75,000 under $100,000",110
17864,"$100,000 under $200,000",80
17864,"$200,000 or more",** 0
,,
17866,,"3,700"
17866,"$1 under $25,000",1540
17866,"$25,000 under $50,000",1080
17866,"$50,000 under $75,000",530
17866,"$75,000 under $100,000",280
17866,"$100,000 under $200,000",240
17866,"$200,000 or more",30
,,
17870,,"6,300"
17870,"$1 under $25,000",2420
17870,"$25,000 under $50,000",1450
17870,"$50,000 under $75,000",910
17870,"$75,000 under $100,000",640
17870,"$100,000 under $200,000",720
17870,"$200,000 or more",160
,,
17872,,"4,190"
17872,"$1 under $25,000",2000
17872,"$25,000 under $50,000",1190
17872,"$50,000 under $75,000",530
17872,"$75,000 under $100,000",260
